,33 Trial 1,33 Trial 2,33 Trial 3,33-Triton Trial 1,33-Triton Trial 2,33-Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
411,16.513333,38.346666,44.118,10.702,13.128333,13.664666
412,16.506,38.280666,43.942,10.733333,13.091333,13.679333
413,16.458,38.196666,43.755666,10.741333,13.055333,13.691666
414,16.438333,38.109,43.717,10.741,13.011666,13.689
415,16.419666,38.049333,43.782333,10.706333,13.018666,13.675
416,16.403,37.965666,43.776,10.699333,13.038,13.663666
417,16.358666,37.886,43.699666,10.711,13.044333,13.673333
418,16.310666,37.811,43.644,10.704666,13.035,13.679666
419,16.284,37.765,43.665,10.671,13.017333,13.667
420,16.267666,37.737666,43.669666,10.638333,13.016,13.623333
421,16.241666,37.689333,43.573666,10.629666,13.010333,13.586
422,16.204666,37.640333,43.483,10.636666,13,13.593666
423,16.175333,37.613333,43.504,10.649,13.016333,13.616333
424,16.152,37.578666,43.542,10.661666,13.036666,13.625666
425,16.115333,37.531666,43.517666,10.662666,13.068333,13.629666
426,16.071,37.478333,43.460333,10.648333,13.061333,13.635666
427,16.047,37.444666,43.356666,10.645,13.026,13.626
428,16.019,37.367666,43.268333,10.643,12.996,13.577666
429,16.028,37.314666,43.152333,10.652333,13.007666,13.533
430,16.004,37.252666,43.083,10.648666,13.036,13.546333
431,15.996666,37.192,43.004,10.645333,13.050333,13.583333
432,15.941,37.157999,42.948333,10.634,13.012,13.627
433,15.897666,37.087999,42.922,10.639,13.012,13.606666
434,15.849333,37.079333,43.025333,10.629333,12.987666,13.568333
435,15.808,36.982333,43.02,10.643,12.973666,13.560666
436,15.766666,36.854,42.942333,10.632666,12.964666,13.525
437,15.737333,36.732,42.807,10.643333,12.974,13.538666
438,15.724666,36.636666,42.715666,10.658,13.007333,13.510666
439,15.700666,36.616666,42.669666,10.661666,12.975,13.545333
440,15.699,36.579333,42.629333,10.645,12.957,13.533666
441,15.672,36.518666,42.590666,10.602666,12.947666,13.518666
